motif_id	motif_name	tf_class
MA0797.1	TGIF2	TALE-type homeo domain factors
MA0511.2	RUNX2	Runt-related factors
MA0801.1	MGA	TBX6-related factors
MA0803.1	TBX15	TBX1-related factors
MA0805.1	TBX1	TBX1-related factors
MA0806.1	TBX4	TBX2-related factors
MA0807.1	TBX5	TBX2-related factors
MA0808.1	TEAD3	TEF-1-related factors
MA0813.1	TFAP2B	AP-2
MA0815.1	TFAP2C	AP-2
MA0816.1	Ascl2	MyoD/ASC-related factors
MA0822.1	HES7	Hairy-related factors
MA0823.1	HEY1	Hairy-related factors
MA0826.1	OLIG1	Tal-related
MA0827.1	OLIG3	Tal-related
MA0838.1	CEBPG	CEBP-related
MA0845.1	FOXB1	FOX
MA0032.2	FOXC1	FOX
MA0848.1	FOXO4	FOX
MA0849.1	FOXO6	FOX
MA0850.1	FOXP3	FOX
MA0855.1	RXRB	RXR-related receptors (NR2)
MA0856.1	RXRG	RXR-related receptors (NR2)
MA0857.1	Rarb	Thyroid hormone receptor-related factors (NR1)
MA0858.1	Rarb	Thyroid hormone receptor-related factors (NR1)
MA0860.1	Rarg	Thyroid hormone receptor-related factors (NR1)
MA0525.2	TP63	p53-related factors
MA0106.3	TP53	p53-related factors
MA0862.1	GMEB2	GMEB
MA0863.1	MTF1	More than 3 adjacent zinc fingers
MA0024.3	E2F1	E2F
MA0866.1	SOX21	SOX-related factors
MA0870.1	Sox1	SOX-related factors
MA0872.1	TFAP2A	AP-2
MA0916.1	Ets21C	Ets-related
MA0917.1	gcm2	GCM
MA0922.1	ces-2	CEBP-related
MA0924.1	pal-1	HOX
MA0926.1	unc-86	POU domain factors
MA0927.1	vab-7	HOX
MA1124.1	ZNF24	More than 3 adjacent zinc fingers
MA1155.1	ZSCAN4	More than 3 adjacent zinc fingers
MA1127.1	FOSB::JUN	Fos-related
MA1129.1	FOSL1::JUN	Fos-related
MA1136.1	FOSB::JUNB	Fos-related
MA1420.1	IRF5	Interferon-regulatory factors
MA1421.1	TCF7L1	TCF-7-related factors
MA1440.1	fkh-9	FOX
MA1442.1	mab-5	HOX
MA1445.1	ceh-28	NK
MA1448.1	fos-1	Fos-related
MA1451.1	nhr-6	NGFI-B-related receptors (NR4)
MA1468.1	ATOH7	Tal-related
MA1485.1	FERD3L	Tal-related
MA1489.1	FOXN3	FOX
MA1493.1	HES6	Hairy-related factors
MA1509.1	IRF6	Interferon-regulatory factors
MA1538.1	NR2F1	RXR-related receptors (NR2)
MA1539.1	NR2F6	RXR-related receptors (NR2)
MA1555.1	RXRB	RXR-related receptors (NR2)
MA1556.1	RXRG	RXR-related receptors (NR2)
MA1557.1	SMAD5	SMAD factors
MA1570.1	TFAP4	bHLH-ZIP
MA1571.1	TGIF2LX	TALE-type homeo domain factors
MA1572.1	TGIF2LY	TALE-type homeo domain factors
MA1580.1	ZBTB32	Other factors with up to three adjacent zinc fingers
MA1587.1	ZNF135	More than 3 adjacent zinc fingers
MA1588.1	ZNF136	More than 3 adjacent zinc fingers
MA1594.1	ZNF382	Factors with multiple dispersed zinc fingers
MA1596.1	ZNF460	More than 3 adjacent zinc fingers
MA1597.1	ZNF528	More than 3 adjacent zinc fingers
MA0158.2	HOXA5	HOX
MA0912.2	HOXD3	HOX
MA0623.2	NEUROG1	Tal-related
MA2093.1	HOXB1	HOX
MA2094.1	PAX8	Paired domain only
MA2095.1	Sox7	SOX-related factors
MA2096.1	ZNF524	More than 3 adjacent zinc fingers
MA1715.1	ZNF707	More than 3 adjacent zinc fingers
MA2097.1	ZNF75A	More than 3 adjacent zinc fingers
MA2098.1	ZNF766	More than 3 adjacent zinc fingers
MA2099.1	ZNF770	Factors with multiple dispersed zinc fingers
MA1718.1	ZNF8	Factors with multiple dispersed zinc fingers
MA2100.1	ZSCAN16	More than 3 adjacent zinc fingers
MA2101.1	ZNF677	More than 3 adjacent zinc fingers
MA1684.1	Foxn1	FOX
MA1700.1	Clamp	Factors with multiple dispersed zinc fingers
MA2102.1	ZBTB17	Factors with multiple dispersed zinc fingers
MA2107.1	cg	More than 3 adjacent zinc fingers
MA2108.1	sqz	More than 3 adjacent zinc fingers
MA1876.1	Gsx	HOX
MA1890.1	Klf15	Three-zinc finger Kruppel-related
MA1893.1	Klf6-7-like	Three-zinc finger Kruppel-related
MA2109.1	Arid3	ARID-related
MA2110.1	Cdx	HOX
MA2111.1	HNF4	RXR-related receptors (NR2)
MA2112.1	Meis	TALE-type homeo domain factors
MA2113.1	Pax2-5-8-a	Paired domain only
MA2114.1	Pax3-7-like	Paired plus homeo domain
MA2115.1	Pax6	Paired plus homeo domain
MA2116.1	Pou4	POU domain factors
MA1931.1	ELK1::HOXA1	Ets-related
MA1957.1	HOXB2::ELK1	HOX
MA1962.1	POU2F1::SOX2	POU domain factors
MA1972.1	ZFP14	Factors with multiple dispersed zinc fingers
MA1980.1	ZNF418	Factors with multiple dispersed zinc fingers
MA1985.1	ZNF669	More than 3 adjacent zinc fingers
MA2117.1	FOXP4	FOX
MA2118.1	FOXS1	FOX
MA2119.1	HOXA3	HOX
MA2120.1	ZNF184	More than 3 adjacent zinc fingers
MA2121.1	ZNF213	More than 3 adjacent zinc fingers
MA2122.1	Ebf4	EBF-related
MA2123.1	Hand1	Tal-related
MA2124.1	Hmga1	HMGA
MA2125.1	Zfp809	More than 3 adjacent zinc fingers
MA2126.1	Zfp961	More than 3 adjacent zinc fingers
MA0079.5	SP1	Three-zinc finger Kruppel-related
MA0509.3	RFX1	RFX-related factors
MA0516.3	SP2	Three-zinc finger Kruppel-related
MA0607.2	BHLHA15	Tal-related
MA0685.2	SP4	Three-zinc finger Kruppel-related
MA0740.2	KLF14	Three-zinc finger Kruppel-related
MA0742.2	KLF12	Three-zinc finger Kruppel-related
MA0798.3	RFX3	RFX-related factors
MA0818.2	BHLHE22	Tal-related
