gene_id	mean_beta	n_cpgs	expression
LOC_00006035	0.861835734571338	170	6.7502118331906
LOC_00006036	0.843442974869517	487	6.6259390034013
LOC_00006037	0.82669901817929	252	5.74221498761975
LOC_00006038	0.859125254590371	5	4.37209876802768
LOC_00006039	0.803689649207849	167	6.68970067451265
LOC_00006040	0.00292773240475376	276	0.932623939810295
LOC_00006042	0.00363358778153904	787	3.33434869589874
LOC_00006043	0.00488407035384032	723	4.48266272271182
LOC_00006044	0.897650814439777	752	7.21531606202912
LOC_00006046	0.505298591634259	1818	5.14662058414097
LOC_00006045	0.895771744342494	406	3.89786707435922
XLOC_013701U_lncRNA	0.0697459454312435	258	2.06453604338618
LOC_00006047	0.0164563430543506	249	3.25835993368205
LOC_00006048	0.753838569578723	340	4.14393940038035
LOC_00006049	0.70747386940682	508	8.66644255838408
LOC_00006050	0.694385433318679	328	7.90553078986461
LOC_00006051	0.77645609063801	597	9.95031334644984
LOC_00006052	0.739698051497473	394	8.82121906961689
LOC_00006054	0.839805660815001	242	7.25839093324584
LOC_00006055	0.638372064126341	123	3.44605525310275
LOC_00006056	0.654585610795982	182	6.22714593802185
LOC_00006057	0.582973517283947	90	4.05839881343719
LOC_00006058	0.872277112289865	599	11.5672192034665
LOC_00006059	0.881352172297387	440	9.97973532258458
LOC_00006060	0.329164666837642	530	11.5233891777137
LOC_00006061	0.855247203565159	121	11.6097722307889
LOC_00006062	0.893011807105062	779	11.0044734036805
LOC_00006063	0.448499363318096	74	6.5673151384472
LOC_00006064	0.00288382803684577	200	2.15700304179142
LOC_00006065	0.00328464471579801	285	1.44616174358324
LOC_00006066	0.722540569808218	81	4.56544027237924
LOC_00006067	0.822848522036894	188	5.82567300724734
LOC_00006068	0.847323676406806	491	4.19813321436452
LOC_00006069	0.00289087512931429	1337	7.87794320081253
LOC_00006071	0.775128345846079	274	9.24274639221934
LOC_00006072	0.00231481481481482	8	3.89393285192587
LOC_00006073	0.0034714567254147	491	5.48075828164773
LOC_00006074	0.772232730074486	37	3.33808913618442
LOC_00006075	0.812538493528821	248	4.73937557249396
LOC_00006076	0.704709327636536	578	5.48671867317389
LOC_00006077	0.00312644916985562	1542	4.87103978672502
LOC_00006078	0.00226648351648352	28	0.932623939810295
LOC_00006079	0.80401290094861	166	8.63853992306588
LOC_00006080	0.536033553791001	511	8.28099166039891
LOC_00006081	0.84815359743942	198	6.15050420203249
LOC_00006082	0.855707931396901	239	6.68223340649887
LOC_00006083	0.877145791080361	273	8.20211356434356
LOC_00006084	0.814399530850716	218	6.72036984693387
LOC_00006085	0.830738074876477	123	8.90697948096136
LOC_00006087	0.669958113617382	543	3.17984959936475
LOC_00006090	0.891598748759239	288	8.04685659860009
LOC_00006091	0.00365439982001575	700	5.42691789630401
LOC_00006092	0.00223793403137553	1517	1.14376323207451
LOC_00006093	0.00300177880613039	322	0.932623939810295
LOC_00006094	0.838742444283249	249	4.93063271005366
LOC_00006095	0.865694836568842	301	4.85193470264948
LOC_00006096	0.00426657593575992	1177	0.932623939810295
LOC_00006097	0.00254176724618969	608	0.932623939810295
LOC_00006098	0.00289495271569256	537	0.932623939810295
LOC_00006099	0.00155897413462071	555	0.932623939810295
XLOC_013732U_lncRNA	0.0154604022064794	259	0.932623939810295
LOC_00006100	0.639111609818107	65	3.12915941543874
LOC_00006101	0.00259289929965175	370	0.932623939810295
LOC_00006102	0.0030204934124861	1198	1.45549704942496
LOC_00006103	0.00355465470927413	802	2.64168573989049
LOC_00006104	0.864766845521704	165	12.1346645655557
LOC_00006105	0.892109136254619	336	7.02462692736807
LOC_00006106	0.00338153132270779	148	2.16183133278859
LOC_00006107	0.915583775910801	500	10.6861118142032
LOC_00006108	0.00248239487075637	249	3.22028049120333
LOC_00006109	0.00311911862484672	395	3.32761957974783
LOC_00006110	0.00145871616950594	124	1.24530459706182
LOC_00006111	0.00339267247329821	381	6.90933445824526
LOC_00006112	0.00315809841628281	420	0.932623939810295
LOC_00006113	0.00284309421673306	92	0.932623939810295
XLOC_012696U_lncRNA	0.00200158999298167	82	0.932623939810295
LOC_00006114	0.00121951219512195	41	0.932623939810295
LOC_00006115	0.00262545348642287	98	0.932623939810295
LOC_00006116	0.00484086116385743	53	0.932623939810295
LOC_00006117	0.00242081447963801	51	0.932623939810295
XLOC_013742U_lncRNA	0.00506542699724518	33	0.932623939810295
XLOC_013743U_lncRNA	0.00361333412447062	103	1.09150352447465
LOC_00006118	0.00329353901046652	3910	3.09545955273113
LOC_00006119	0.878957316868089	708	8.62736225943309
LOC_00006120	0.895416379030211	469	5.53325500019503
LOC_00006121	0.831755830384235	368	9.50772432270548
LOC_00006122	0.668281730703405	563	5.19786628191932
LOC_00006123	0.65488521853776	890	8.38479381066809
LOC_00006124	0.0901911597800609	5221	12.0176632945252
LOC_00006126	0.831592297725871	393	9.06452734645222
