gene_id	module
LOC_00002500	blue
LOC_00002501	yellow
LOC_00002503	black
LOC_00002504	turquoise
LOC_00002505	turquoise
LOC_00002507	turquoise
LOC_00002508	lightcyan
LOC_00002510	brown
LOC_00002515	blue
LOC_00002516	grey
LOC_00002517	turquoise
LOC_00002520	black
LOC_00002522	blue
LOC_00002526	blue
LOC_00002528	turquoise
LOC_00002529	grey
LOC_00002530	black
LOC_00002531	black
LOC_00002532	black
LOC_00002533	blue
LOC_00002534	blue
LOC_00002536	turquoise
LOC_00002537	yellow
LOC_00002539	blue
LOC_00002542	brown
LOC_00002543	black
LOC_00002544	turquoise
LOC_00002546	blue
LOC_00002547	yellow
LOC_00002548	pink
LOC_00002550	brown
LOC_00002552	purple
LOC_00002553	yellow
LOC_00002555	green
LOC_00002556	pink
LOC_00002557	turquoise
LOC_00002558	turquoise
LOC_00002564	turquoise
LOC_00002567	lightcyan
LOC_00002568	turquoise
LOC_00002569	turquoise
LOC_00002570	brown
LOC_00002575	green
LOC_00002577	blue
LOC_00002579	blue
LOC_00002580	turquoise
LOC_00002582	green
LOC_00002584	brown
LOC_00002586	turquoise
LOC_00002588	lightcyan
LOC_00002589	yellow
LOC_00002591	turquoise
LOC_00002592	brown
LOC_00002593	magenta
LOC_00002596	green
LOC_00002599	turquoise
LOC_00002600	grey
LOC_00002601	yellow
LOC_00002604	yellow
LOC_00002606	blue
LOC_00002608	black
LOC_00002609	green
LOC_00002612	black
LOC_00002615	blue
LOC_00002616	brown
LOC_00002617	turquoise
LOC_00002618	grey
LOC_00002620	red
LOC_00002621	brown
LOC_00002622	brown
LOC_00002623	green
LOC_00002624	turquoise
LOC_00002626	black
LOC_00002627	turquoise
LOC_00002628	blue
LOC_00002629	brown
LOC_00002630	pink
LOC_00002631	black
LOC_00002632	grey
LOC_00002633	magenta
LOC_00002634	turquoise
LOC_00002635	turquoise
LOC_00002636	blue
LOC_00002637	turquoise
LOC_00002638	turquoise
LOC_00002639	black
LOC_00002640	brown
LOC_00002642	brown
LOC_00002644	turquoise
LOC_00002645	grey
LOC_00002646	blue
LOC_00002647	blue
LOC_00002649	purple
LOC_00002651	turquoise
LOC_00002652	grey
LOC_00002654	lightcyan
LOC_00002655	brown
LOC_00002657	blue
LOC_00002658	pink
LOC_00002659	turquoise
LOC_00002660	blue
LOC_00002662	blue
LOC_00002665	yellow
LOC_00002667	green
LOC_00002671	turquoise
LOC_00002672	pink
LOC_00002673	yellow
LOC_00002674	yellow
LOC_00002677	blue
LOC_00002678	brown
LOC_00002679	turquoise
LOC_00002680	blue
LOC_00002681	turquoise
LOC_00002683	turquoise
LOC_00002686	turquoise
LOC_00002687	red
LOC_00002688	red
LOC_00002689	brown
LOC_00002690	blue
LOC_00002692	black
LOC_00002698	turquoise
LOC_00002699	yellow
LOC_00002700	red
LOC_00002702	turquoise
LOC_00002704	blue
LOC_00002705	black
LOC_00002708	red
LOC_00002710	blue
LOC_00002716	turquoise
LOC_00002719	turquoise
LOC_00002721	blue
LOC_00002723	green
LOC_00002725	red
LOC_00002726	lightgreen
LOC_00002727	blue
LOC_00002729	purple
LOC_00002730	brown
LOC_00002731	blue
LOC_00002732	turquoise
LOC_00002733	turquoise
LOC_00002739	red
LOC_00002740	grey
LOC_00002742	turquoise
LOC_00002747	green
LOC_00002749	turquoise
LOC_00002750	turquoise
LOC_00002752	blue
LOC_00002753	blue
LOC_00002754	turquoise
LOC_00002755	brown
LOC_00002756	lightcyan
LOC_00002757	blue
LOC_00002758	blue
LOC_00002759	brown
LOC_00002763	green
LOC_00002765	black
LOC_00002766	turquoise
LOC_00002767	turquoise
LOC_00002769	turquoise
LOC_00002771	turquoise
LOC_00002775	yellow
LOC_00002776	blue
LOC_00002778	turquoise
LOC_00002779	pink
LOC_00002780	red
LOC_00002784	turquoise
LOC_00002788	turquoise
LOC_00002790	green
LOC_00002791	turquoise
LOC_00002793	green
LOC_00002794	grey
LOC_00002795	blue
LOC_00002796	turquoise
LOC_00002797	blue
LOC_00002798	green
LOC_00002799	black
LOC_00002800	blue
LOC_00002802	yellow
LOC_00002803	green
LOC_00002804	turquoise
LOC_00002805	turquoise
LOC_00002806	brown
LOC_00002807	turquoise
LOC_00002809	turquoise
LOC_00002811	brown
LOC_00002813	grey
LOC_00002816	turquoise
LOC_00002817	brown
LOC_00002818	brown
LOC_00002819	brown
LOC_00002821	brown
LOC_00002822	grey
LOC_00002823	greenyellow
LOC_00002824	purple
LOC_00002826	magenta
LOC_00002827	turquoise
LOC_00002828	grey
LOC_00002830	turquoise
LOC_00002831	brown
LOC_00002832	pink
LOC_00002834	black
LOC_00002835	cyan
LOC_00002837	turquoise
LOC_00002841	pink
LOC_00002842	yellow
LOC_00002844	lightcyan
LOC_00002846	black
LOC_00002847	blue
LOC_00002848	turquoise
LOC_00002850	turquoise
LOC_00002852	brown
LOC_00002854	turquoise
LOC_00002856	turquoise
LOC_00002858	red
LOC_00002860	grey
LOC_00002861	brown
LOC_00002862	yellow
LOC_00002865	yellow
LOC_00002866	greenyellow
LOC_00002867	turquoise
LOC_00002868	black
LOC_00002873	pink
LOC_00002874	green
LOC_00002875	yellow
LOC_00002878	black
LOC_00002880	greenyellow
LOC_00002881	turquoise
LOC_00002883	blue
LOC_00002884	green
LOC_00002886	red
LOC_00002887	tan
LOC_00002888	black
LOC_00002889	green
LOC_00002890	purple
LOC_00002891	blue
LOC_00002892	lightgreen
LOC_00002896	brown
LOC_00002897	brown
LOC_00002898	green
LOC_00002899	brown
LOC_00002901	brown
LOC_00002903	yellow
LOC_00002904	yellow
LOC_00002905	brown
LOC_00002908	yellow
LOC_00002909	salmon
LOC_00002910	red
LOC_00002911	turquoise
LOC_00002913	tan
LOC_00002916	yellow
LOC_00002920	turquoise
LOC_00002922	grey
LOC_00002923	yellow
LOC_00002925	turquoise
LOC_00002926	yellow
LOC_00002927	pink
LOC_00002928	grey
LOC_00002929	turquoise
LOC_00002930	yellow
LOC_00002931	brown
LOC_00002932	brown
LOC_00002933	turquoise
LOC_00002934	turquoise
LOC_00002935	cyan
LOC_00002936	black
LOC_00002937	turquoise
LOC_00002940	turquoise
LOC_00002941	turquoise
LOC_00002942	blue
LOC_00002943	purple
LOC_00002944	turquoise
LOC_00002945	turquoise
LOC_00002946	midnightblue
LOC_00002948	yellow
LOC_00002949	turquoise
LOC_00002950	green
LOC_00002951	grey
LOC_00002952	grey
LOC_00002953	blue
LOC_00002954	black
LOC_00002955	red
LOC_00002956	brown
LOC_00002957	yellow
LOC_00002958	green
LOC_00002959	black
LOC_00002960	yellow
LOC_00002962	pink
LOC_00002963	green
LOC_00002965	black
LOC_00002967	brown
LOC_00002969	greenyellow
LOC_00002970	brown
LOC_00002971	red
LOC_00002976	black
LOC_00002978	red
LOC_00002979	magenta
LOC_00002981	pink
LOC_00002982	turquoise
LOC_00002983	turquoise
LOC_00002984	brown
LOC_00002985	black
LOC_00002986	turquoise
LOC_00002987	grey
LOC_00002988	brown
LOC_00002989	turquoise
LOC_00002990	brown
LOC_00002991	yellow
LOC_00002992	brown
LOC_00002996	grey60
LOC_00002998	greenyellow
LOC_00002999	black
LOC_00003000	red
LOC_00003003	turquoise
LOC_00003004	blue
LOC_00003006	yellow
LOC_00003007	turquoise
LOC_00003009	turquoise
LOC_00003010	grey
LOC_00003011	blue
LOC_00003013	pink
LOC_00003017	grey
LOC_00003018	purple
LOC_00003021	grey
LOC_00003024	grey
LOC_00003025	brown
LOC_00003027	brown
LOC_00003031	blue
LOC_00003032	green
LOC_00003033	yellow
LOC_00003034	turquoise
LOC_00003035	greenyellow
LOC_00003038	grey
LOC_00003039	black
LOC_00003040	yellow
LOC_00003041	pink
LOC_00003042	blue
LOC_00003044	black
LOC_00003045	purple
LOC_00003046	turquoise
LOC_00003048	grey
LOC_00003050	turquoise
LOC_00003051	grey
LOC_00003052	blue
LOC_00003053	green
LOC_00003054	red
LOC_00003057	green
LOC_00003058	blue
LOC_00003059	blue
LOC_00003060	brown
LOC_00003061	black
LOC_00003062	green
LOC_00003063	turquoise
LOC_00003064	red
LOC_00003065	yellow
LOC_00003066	blue
LOC_00003067	grey60
LOC_00003068	yellow
LOC_00003069	yellow
LOC_00003071	brown
LOC_00003072	turquoise
LOC_00003074	green
LOC_00003075	black
LOC_00003076	blue
LOC_00003077	turquoise
LOC_00003078	pink
LOC_00003082	yellow
LOC_00003083	turquoise
LOC_00003084	blue
LOC_00003085	turquoise
LOC_00003087	yellow
LOC_00003088	cyan
LOC_00003089	turquoise
LOC_00003090	midnightblue
LOC_00003093	turquoise
LOC_00003094	pink
LOC_00003096	black
LOC_00003097	blue
LOC_00003098	magenta
LOC_00003099	turquoise
LOC_00003102	turquoise
LOC_00003104	turquoise
LOC_00003106	red
LOC_00003107	yellow
LOC_00003109	yellow
LOC_00003110	grey
LOC_00003111	turquoise
LOC_00003113	yellow
LOC_00003114	pink
LOC_00003115	blue
LOC_00003118	turquoise
LOC_00003119	pink
LOC_00003120	pink
LOC_00003121	pink
LOC_00003122	turquoise
LOC_00003123	blue
LOC_00003124	black
LOC_00003125	brown
LOC_00003126	turquoise
LOC_00003128	yellow
LOC_00003134	blue
LOC_00003136	purple
LOC_00003137	blue
LOC_00003138	yellow
LOC_00003139	black
LOC_00003140	black
LOC_00003141	blue
LOC_00003142	yellow
LOC_00003143	turquoise
LOC_00003144	turquoise
LOC_00003145	turquoise
LOC_00003146	grey
LOC_00003151	green
LOC_00003153	black
LOC_00003154	blue
LOC_00003155	black
LOC_00003158	purple
LOC_00003159	red
LOC_00003160	yellow
LOC_00003161	yellow
LOC_00003163	blue
LOC_00003164	turquoise
LOC_00003165	green
LOC_00003166	yellow
LOC_00003168	turquoise
LOC_00003170	pink
LOC_00003171	turquoise
LOC_00003172	green
LOC_00003173	turquoise
LOC_00003174	yellow
LOC_00003175	brown
LOC_00003176	turquoise
LOC_00003177	grey
LOC_00003178	tan
LOC_00003179	blue
LOC_00003180	blue
LOC_00003182	turquoise
LOC_00003186	red
LOC_00003187	blue
LOC_00003188	turquoise
LOC_00003189	yellow
LOC_00003190	turquoise
