decile	bin	mean_beta	mean_beta_a	n
D07	-2880	13.0383962288395	12.8753946074809	360
D07	-2840	11.8251012079381	12.1217910829303	373
D07	-2780	15.0738279235145	15.0529993746696	399
D07	-2760	11.3770827615233	11.1037756507946	340
D07	-2750	15.5515310096345	15.7635803313016	392
D07	-2720	13.1699799369796	13.2810348208674	377
D07	-2670	14.6087413580747	14.4365966709173	400
D07	-2610	12.4804116577902	12.3391676608155	412
D07	-2550	13.9910260425361	14.0550374292426	430
D07	-2440	13.6626913036055	13.816853421728	389
D07	-2430	12.2050223833929	12.5647369552308	381
D07	-2410	14.2647770633032	14.7251307445208	371
D07	-2370	12.4601309964152	12.6140328080802	428
D07	-2340	11.5777107523092	11.5442345644228	429
D07	-2310	12.5961523389087	12.5331847455587	394
D07	-2280	11.3107082149541	11.9099515291173	404
D07	-2250	11.4102198043354	11.3396641862453	411
D07	-2230	10.4951407561069	10.2162924951917	382
D07	-2190	9.45545373327453	9.42837955606114	377
D07	-2180	11.5518470660315	11.1392083418109	355
D07	-2170	14.7090947229123	14.7156989274362	405
D07	-2080	11.4993951394479	11.1181210648083	402
D07	-2020	12.9801254516586	12.8076430900987	394
D07	-2010	13.6048653915385	13.6930974892622	406
D07	-1980	12.5304009254868	12.7407983541346	389
D07	-1930	12.4541087662822	12.4550694422958	392
D07	-1470	8.47153266701173	8.46833472998084	434
D07	-1460	11.226341947203	11.245539811477	435
D07	-1370	9.87622965393428	9.86797852079039	415
D07	-1320	8.54188326814079	8.67840656912402	412
D07	-1290	9.65937683173119	9.65481906565831	448
D07	-1220	11.1350481757094	11.1201853467583	412
D07	-1160	9.62465055938446	9.57405274838442	415
D07	-1100	8.43596730292603	8.33394188216832	380
D07	-70	1.0232997421895	1.11315112775525	588
D07	170	2.28905618631618	2.13514502352354	537
D07	190	2.02040671482549	1.96538054602993	560
D07	230	1.52399161307696	1.52970792728468	525
D07	280	1.25519781497167	1.20939374973705	478
D07	350	2.07922278224093	2.43458285344873	432
D07	400	4.24224985446349	4.20431046927647	446
D07	410	3.38349823528788	3.57961154476949	417
D07	470	4.41754025774946	5.01514741360948	375
D07	540	17.3873086572605	17.0729750613624	381
D07	550	15.6802689826378	15.7701344688625	358
D07	580	27.6450406535742	27.3301673222484	346
D07	600	26.8064810426121	26.6232509033755	328
D07	610	29.1793539639014	29.0681901088295	340
D07	640	32.8298951326946	32.052812175984	305
D07	730	40.7830366564048	41.294908276515	327
D07	770	41.6125215935457	42.0005703822498	346
D07	840	43.9536518498606	44.7251861966387	344
D07	1310	60.1939502074473	60.571239547096	343
D07	1350	64.6065042369822	64.6340636803646	347
D07	1370	61.4217845882339	62.3988451414151	354
D07	1460	60.9418482768866	60.8341813777186	356
D07	1480	55.5771849467802	55.6433497793457	385
D07	1500	56.3508103864314	56.4882011217275	377
D07	1520	54.3064581676419	54.3880364948697	354
D07	1570	60.699262051576	60.6855192095421	330
D07	1580	57.6324979227447	58.4058653320303	309
D07	1610	58.1722401836968	58.4913655781384	381
D02	-4720	10.4027975521067	10.4789047045922	243
D02	-4610	13.0058878657678	13.3995611034648	214
D02	-4520	11.3670630426634	11.2795675957175	231
D02	-4430	9.49145674416167	9.40896557254143	243
D02	-4400	8.2044341008144	8.51411025846609	233
