gene_id	n_dmp	mean_diff	n_hyper	n_hypo	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	dmp_bin
LOC_00017516	13	0.167510806984112	11	2	0.180365889982078	0.196796848520907	2313.66375406425	FALSE	Hyper	Golt1b	>10
LOC_00017517	13	0.167510806984112	11	2	0.027782970819389	0.873925747971325	1050.15403234057	FALSE	Hyper	KIF3B	>10
LOC_00017528	1	-0.168756823110062	0	1	0.0327884912120588	0.848315580159853	159.877719752196	FALSE	Hypo	GTPBP6	1
LOC_00017529	1	-0.168756823110062	0	1	-0.591130831817384	0.000596306035345269	5073.77626456458	TRUE	Hypo	FNBP4	1
LOC_00017545	1	-0.213304634927959	0	1	0.244594176315506	0.0727770913987662	3781.17001996205	FALSE	Hypo	Otulin	1
LOC_00017546	1	-0.213304634927959	0	1	0.0250009811335232	0.868975056469984	4795.0879581333	FALSE	Hypo	tmem53-b	1
LOC_00017569	9	-0.178927094840969	1	8	-0.200715789921319	0.194418772770639	297.518988727874	FALSE	Hypo	Fbxl7	6-10
LOC_00017575	4	-0.206598922415789	0	4	-0.17644579368542	0.2044478006294	592.249428689557	FALSE	Hypo	PKG	4-5
LOC_00017585	1	-0.225132624046663	0	1	0.0945336614137437	0.49796916377601	485.051434222888	FALSE	Hypo	FAR1	1
LOC_00017586	1	-0.225132624046663	0	1	0.0689454093231919	0.566100349413092	2163.36007277189	FALSE	Hypo		1
LOC_00017589	7	0.306484597129251	7	0	0.296317949239228	0.0349421431824937	1001.51385214577	TRUE	Hyper	UbcE2M	6-10
LOC_00017605	5	-0.300540364828928	0	5	0.200802650207675	0.0984500087937308	6818.13789443339	FALSE	Hypo	STK38L	4-5
LOC_00017614	20	0.156450423885202	17	3	0.133188694430038	0.311661425674122	6339.2737522125	FALSE	Hyper	Adenosine	>10
LOC_00017615	2	-0.24915128013118	0	2	-0.0276004057842031	0.873470123999492	672.408087951917	FALSE	Hypo		2-3
LOC_00017620	1	-0.317099606395915	0	1	0.232529586917703	0.063757964590912	19010.2618351788	FALSE	Hypo	RpL32	1
LOC_00017621	2	0.19393559579095	2	0	0.0537127107341847	0.692333662880317	754.369958474756	FALSE	Hyper		2-3
LOC_00017622	4	-0.270371671581943	0	4	0.0935870011766655	0.53171551846402	815.783453993425	FALSE	Hypo	plk1	4-5
LOC_00017629	1	-0.157047196400407	0	1	0.271808009368298	0.0782921631944073	17782.3234076877	FALSE	Hypo	VHA26	1
LOC_00017630	2	-0.205747466346769	0	2	-0.150443500235357	0.329913911398912	75.893152896973	FALSE	Hypo	Ptpn9	2-3
LOC_00017640	1	-0.215575374414864	0	1	-0.0124608809096587	0.943646189592081	2033.38102266264	FALSE	Hypo	Aplip1	1
LOC_00017641	1	-0.215575374414864	0	1	0.141099188247166	0.250913155097585	4261.89129829749	FALSE	Hypo	Ndufb2	1
LOC_00017643	2	0.261477847851884	2	0	0.073904348030973	0.563220738142156	5950.89739377364	FALSE	Hyper	TALDO1	2-3
LOC_00017645	2	0.261477847851884	2	0	-0.0669314240433076	0.608963347875382	2031.10045030662	FALSE	Hyper		2-3
LOC_00017679	8	-0.220289078139946	0	8	0.0734761219085535	0.640876679454506	349.606215417565	FALSE	Hypo		6-10
LOC_00017689	2	-0.189705976338977	0	2	0.1027135487128	0.473258014700812	2352.61531574679	FALSE	Hypo	syf2	2-3
