gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class
LOC_00006633	108	0.387468563094794	0.414317251694237	0.0268486885994432	0.740503759789842	0.729161219569415	0.0788127082609552	3.45132914262703	0.495077023097876	NS
LOC_00006634	2	0.37938635492991	0.284644544291668	-0.0947418106382419	0.9250333000333	0.950126966431314		3.35993090174944		
LOC_00006635	173	0.520345168569819	0.494411493341353	-0.0259336752284657	0.756800201592215	0.77432358837133	0.0621709574214306	4.48638057569968	0.462086548845851	NS
LOC_00006636	366	0.420214323877964	0.411318920826738	-0.00889540305122575	0.826053823497706	0.831356476517182	0.469154089137619	7.58626081646653	0.84634460364731	NS
LOC_00006637	75	0.315951779030075	0.378277834912105	0.0623260558820305	0.919831833181022	0.907686378262825	0.0146501076672866	5.30572612649868	0.274266049188717	NS
LOC_00006638	821	0.238437423178786	0.224613829317414	-0.0138235938613718	0.500709178928652	0.50939364096045	0.0344201979486844	4.86181098547843	0.376835481465836	NS
LOC_00006639	134	0.436955484339183	0.402554463182453	-0.0344010211567295	0.866056920978717	0.861515333372184	0.158738583632035	7.60716460784418	0.619655664213635	NS
LOC_00006641	3529	0.0181772373553228	0.0195681831736279	0.0013909458183051	0.00297834957400478	0.00330386599943496	0.420307428726818	3.29268096462209	0.822319530182104	NS
LOC_00006642	297	0.26490316401923	0.273960542085771	0.0090573780665407	0.609826377535897	0.609144949013404	0.59660524782514	6.04883233627924	0.903318860134131	NS
LOC_00006643	225	0.0128237079330823	0.0192270571625699	0.00640334922948766	0.00203524448886714	0.00297612638933289	0.304761379574516	1.24399951059356	0.755086277555783	NS
LOC_00006644	890	0.37711255756795	0.366123414306392	-0.0109891432615579	0.867145590035922	0.870518753472611	0.138792194050757	9.24844693219771	0.593358376471785	NS
LOC_00006646	79	0.506437490526098	0.491738835425716	-0.0146986551003813	0.85906740525938	0.865273658203948	0.523628244316314	10.3584616727077	0.873438677005024	NS
LOC_00006647	192	0.341815169382311	0.344064457100071	0.00224928771775977	0.8767375721942	0.875503213600596	0.604063539901892	8.51948649358101	0.907052407548661	NS
LOC_00006648	875	0.0205858725821579	0.0164683408041963	-0.00411753177796158	0.00349251412014074	0.00262492532467533	0.31645725732112	6.47297770491722	0.761644716332495	NS
LOC_00006649	299	0.534453509334773	0.490826567819858	-0.0436269415149148	0.81173590836327	0.832033919883767	0.000149868965208878	5.60244503229253	0.0260563165659468	Entropy_Down
