gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class	n_exons	gene_class
LOC_00011111	1675	0.420558685968994	0.397516238387584	-0.0230424475814101	0.781294712241275	0.788688608358926	0.000376783139915833	4.13582863187062	0.0456682696043127	Entropy_Down	16	3+ exon
LOC_00015462	1468	0.425845931667893	0.403065060399878	-0.0227808712680153	0.845500441760003	0.856019202011055	0.0000833539339422353	6.98108917244429	0.0191897889646435	Entropy_Down	50	3+ exon
LOC_00021552	900	0.304774321042965	0.282011193993619	-0.0227631270493456	0.440240079050981	0.449693536692633	0.000227387543583653	7.06703532444907	0.0332628771513991	Entropy_Down	19	3+ exon
LOC_00014663	998	0.216414797510864	0.19385624322316	-0.0225585542877041	0.232391730869046	0.241296584531571	0.00000227742854378161	5.73466502981539	0.00193226147368607	Entropy_Down	81	3+ exon
LOC_00021614	1293	0.555248200601094	0.532865358626017	-0.0223828419750772	0.814118627969357	0.826970170351466	0.00037445213515274	12.079198312936	0.0456465760846251	Entropy_Down	288	3+ exon
LOC_00016215	1137	0.376226294421425	0.354425232989308	-0.0218010614321177	0.896119646829758	0.90498629264714	0.000141566301733988	8.31912481250211	0.0252694126056411	Entropy_Down	43	3+ exon
LOC_00021293	2240	0.57507695262573	0.55334190036911	-0.0217350522566205	0.816519586794112	0.830154596093092	0.0000515077565005935	1.60771821234042	0.0149661783990971	Entropy_Down	10	3+ exon
LOC_00019718	1041	0.331579537388352	0.309995835771364	-0.0215837016169877	0.468721041938236	0.478184734624675	0.000027900369486418	6.09906207606956	0.00986324561960687	Entropy_Down	41	3+ exon
LOC_00020915	1513	0.42657469152884	0.405150443554976	-0.0214242479738636	0.488494148505707	0.501665071122242	0.000000930849971545119	6.70254871018516	0.00122711132133375	Entropy_Down	86	3+ exon
LOC_00018637	1117	0.533198779526701	0.511850239854328	-0.021348539672373	0.772681493305741	0.785109297885515	0.000141964154384616	7.20441681848984	0.0252694126056411	Entropy_Down	115	3+ exon
LOC_00015793	1968	0.43562352533668	0.414360350608345	-0.0212631747283351	0.687402716036573	0.697292647545677	0.0000142498119559473	7.75019896324904	0.00719649431899043	Entropy_Down	513	3+ exon
LOC_00000493	1622	0.585630522504212	0.564417160999036	-0.0212133615051755	0.616464865585905	0.631436520351577	0.0000000913771993113498	6.7024451620238	0.000178625391174206	Entropy_Down	187	3+ exon
LOC_00011842	1139	0.342305154980588	0.32125707904668	-0.0210480759339076	0.521033776312962	0.540053692592947	0.0000297390052592489	8.16367824757849	0.0101740974282892	Entropy_Down	127	3+ exon
LOC_00006398	878	0.426860801045482	0.405981935605285	-0.0208788654401974	0.434117774712225	0.446860570354484	0.0000652164766850801	4.65711506208137	0.0170778603329288	Entropy_Down	86	3+ exon
LOC_00025440	642	0.0391605967960286	0.0184989216908452	-0.0206616751051834	0.00923253996546623	0.00349478816089804	0.000124671894172002	7.00421777906205	0.0234019074980737	Entropy_Down	4	3+ exon
LOC_00011399	1869	0.438538661309645	0.417886060285334	-0.0206526010243114	0.867990202558942	0.877828674505907	0.0000562404938290432	7.52226944246982	0.015492430059842	Entropy_Down	63	3+ exon
LOC_00004629	1331	0.585673766833563	0.565091846745562	-0.0205819200880011	0.743267947143544	0.756404684498543	0.0000524983498579447	6.33043724329381	0.0150478716059036	Entropy_Down	215	3+ exon
LOC_00010750	363	0.0356256600800155	0.0154545862970586	-0.0201710737829568	0.00627318429749923	0.0023083342300922	0.0000856545367176263	10.9012982723072	0.0191897889646435	Entropy_Down	4	3+ exon
LOC_00016216	1824	0.443808001403016	0.424351433578075	-0.0194565678249411	0.831270892798564	0.841238926801848	0.000210466965659978	5.99602347640791	0.0321166532993799	Entropy_Down	422	3+ exon
LOC_00019322	2183	0.357389432240586	0.337974936289673	-0.0194144959509136	0.914008730297167	0.921451034957625	0.0000462655031611342	12.4243707609449	0.0138216561626876	Entropy_Down	1246	3+ exon
LOC_00024099	1483	0.163973979619849	0.144571217349396	-0.0194027622704523	0.282917188341086	0.285762867329263	0.00000655368468935346	5.1150362313083	0.00434406893580863	Entropy_Down	55	3+ exon
LOC_00010291	2244	0.399151314254125	0.380217956052568	-0.018933358201557	0.823399867465096	0.832833015966416	0.0000416846923920949	8.51169269643382	0.0130025589754224	Entropy_Down	68	3+ exon
LOC_00023378	1080	0.200376745815695	0.181477612868536	-0.0188991329471584	0.281841774769827	0.285853028744939	0.000384752567112687	6.40592973036695	0.0461072694973289	Entropy_Down	51	3+ exon
LOC_00025589	1271	0.155482727565592	0.136598208378651	-0.0188845191869411	0.265066896967691	0.268212684512445	0.000299337556015476	10.008044362251	0.0405400819691206	Entropy_Down	26	3+ exon
LOC_00007936	2132	0.586044481753113	0.567166276682581	-0.0188782050705313	0.749383736577429	0.761452054790698	0.00000214485466196037	6.47380471750219	0.00193226147368607	Entropy_Down	182	3+ exon
LOC_00003057	2006	0.372789214374551	0.354051182245403	-0.0187380321291481	0.619994806871792	0.628910481882246	0.0000247539203488106	11.150233075741	0.00959748281340023	Entropy_Down	150	3+ exon
LOC_00014374	2704	0.641895763906106	0.623451335767843	-0.0184444281382627	0.776832406554214	0.788856724030245	0.0000000664689430039941	7.78380998816484	0.000156652527784191	Entropy_Down	268	3+ exon
LOC_00004339	1227	0.274428487034614	0.256068399894432	-0.0183600871401817	0.356006962994102	0.367145883559083	0.0000709369290714017	14.410400080743	0.0179124190777798	Entropy_Down	58	3+ exon
